"fecha";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.12.2018 21:00";"23.1";"757.3";"759.5";"1.2";"55";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"19.8";"27.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"13.6";"";"";"";"";"";"";
"30.12.2018 18:00";"26.6";"756.1";"758.2";"-0.4";"42";"Wind blowing from the south";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"12.7";"";"";"";"";"";"";
"30.12.2018 15:00";"27.0";"756.5";"758.8";"-0.5";"43";"Wind blowing from the south";"3";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"13.2";"";"";"";"";"";"";
"30.12.2018 12:00";"24.2";"757.0";"759.1";"1.1";"54";"Wind blowing from the south";"4";"";"";"90  or more, but not 100%";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"14.2";"";"";"";"";"";"";
"30.12.2018 09:00";"19.8";"755.9";"758.1";"1.8";"89";"Wind blowing from the south";"3";"";"";"100%.";"State of sky on the whole unchanged. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"18.9";"28.9";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"18.0";"31.0";"24";"Surface of ground wet (standing water in small or large pools on surface).";"18.0";"";"";
"30.12.2018 06:00";"19.6";"754.1";"756.3";"1.3";"95";"Calm, no wind";"0";"";"";"100%.";"Thunderstorm (with or without precipitation). ";"Thunderstorm(s) with or without precipitation.";"Thunderstorm(s) with or without precipitation.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"18.8";"";"";"";"";"";"";
"30.12.2018 03:00";"20.1";"752.8";"754.9";"3.8";"92";"Wind blowing from the south";"5";"";"";"100%.";"Thunderstorm, heavy, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"6.0";"18.8";"16.0";"6";"";"";"";"";
"30.12.2018 00:00";"28.2";"749.0";"751.2";"-1.7";"73";"Wind blowing from the north-west";"5";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"10.0";"23.0";"";"";"";"";"";"";
"29.12.2018 21:00";"28.4";"750.7";"752.8";"0.5";"80";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"21.2";"30.2";"";"";"";"";"";"10.0";"24.7";"";"";"";"";"";"";
"29.12.2018 18:00";"30.0";"750.2";"752.4";"-1.2";"67";"Wind blowing from the north-east";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"23.3";"";"";"";"";"";"";
"29.12.2018 15:00";"29.0";"751.4";"753.5";"-1.4";"60";"Wind blowing from the north";"3";"";"";"10%  or less, but not 0";"State of sky on the whole unchanged. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.5";"3.0";"6";"";"";"";"";
"29.12.2018 12:00";"25.6";"752.8";"755.0";"-2.4";"76";"Wind blowing from the north-northwest";"1";"";"";"90  or more, but not 100%";"Rain (not freezing) not falling as shower(s). ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"90  or more, but not 100%";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.0";"";"";"";"";"";"";
"29.12.2018 09:00";"21.2";"755.2";"757.4";"2.3";"93";"Wind blowing from the south-west";"3";"";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"20.5";"26.9";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"60%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"7.0";"20.1";"24.0";"24";"Surface of ground wet (standing water in small or large pools on surface).";"20.0";"";"";
"29.12.2018 06:00";"24.3";"752.9";"755.1";"0.4";"85";"Wind blowing from the east";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"21.6";"";"";"";"";"";"";
"29.12.2018 03:00";"25.2";"752.5";"754.6";"-1.2";"66";"Wind blowing from the east";"2";"";"";"50%.";"State of sky on the whole unchanged. ";"Drizzle.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"18.3";"Trace of precipitation";"6";"";"";"";"";
"29.12.2018 00:00";"26.9";"753.7";"755.8";"0.0";"54";"Wind blowing from the north-east";"3";"";"";"90  or more, but not 100%";"Drizzle, not freezing, continuous, slight at time of observation. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"9.0";"16.9";"";"";"";"";"";"";
"28.12.2018 21:00";"26.6";"753.7";"755.9";"0.5";"55";"Wind blowing from the east";"4";"";"";"100%.";" ";"";"";"26.6";"30.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"16.7";"";"";"";"";"";"";
"28.12.2018 18:00";"28.2";"753.2";"755.4";"-1.2";"50";"Wind blowing from the north-east";"6";"";"";"90  or more, but not 100%";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"16.8";"";"";"";"";"";"";
"28.12.2018 15:00";"29.9";"754.4";"756.6";"-1.1";"61";"Wind blowing from the north-east";"4";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.5";"";"";"";"";"";"";
"28.12.2018 12:00";"29.1";"755.5";"757.6";"0.0";"67";"Wind blowing from the north-east";"4";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"22.4";"";"";"";"";"";"";
"28.12.2018 09:00";"27.6";"755.5";"757.7";"1.2";"68";"Wind blowing from the north-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"23.3";"27.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"21.2";"";"";"Dry (without cracks, no appreciable amount of dust or loose sand)";"22.0";"";"";
"28.12.2018 06:00";"23.9";"754.3";"756.5";"1.1";"78";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"19.8";"";"";"";"";"";"";
"28.12.2018 03:00";"23.8";"753.2";"755.5";"-0.3";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"21.4";"";"";"";"";"";"";
"28.12.2018 00:00";"24.7";"753.5";"755.8";"0.4";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"20.1";"";"";"";"";"";"";
"27.12.2018 21:00";"26.9";"753.1";"755.2";"1.4";"68";"Wind blowing from the east";"1";"";"";"70 – 80%.";" ";"";"";"26.1";"31.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"20.6";"";"";"";"";"";"";
"27.12.2018 18:00";"30.2";"751.7";"753.9";"-0.6";"58";"Wind blowing from the east";"2";"";"";"100%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"21.0";"";"";"";"";"";"";
"27.12.2018 15:00";"29.2";"752.3";"754.4";"-1.2";"60";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"20.6";"";"";"";"";"";"";
"27.12.2018 12:00";"29.1";"753.5";"755.7";"0.0";"68";"Wind blowing from the north-west";"2";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"22.7";"";"";"";"";"";"";
"27.12.2018 09:00";"26.1";"753.5";"755.7";"-0.2";"77";"Wind blowing from the north-west";"3";"";"";"90  or more, but not 100%";" ";"";"";"24.0";"28.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"90  or more, but not 100%";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.7";"";"";"Dry (without cracks, no appreciable amount of dust or loose sand)";"24.0";"";"";
"27.12.2018 06:00";"25.2";"753.7";"755.8";"0.5";"80";"Wind blowing from the north";"4";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"21.5";"";"";"";"";"";"";
"27.12.2018 03:00";"26.2";"753.2";"755.3";"0.3";"69";"Wind blowing from the north";"4";"";"";"90  or more, but not 100%";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"20.1";"";"";"";"";"";"";
